('16:03:57', '16:03:57', 0.03188300132751465)
('16:03:57', '16:03:57', 0.01594400405883789)
('16:03:57', '16:03:57', 0.031347036361694336)
('16:03:57', '16:03:57', 0.01550912857055664)
('16:03:57', '16:03:57', 0.016071081161499023)
('16:03:57', '16:03:57', 0.015576839447021484)
('16:03:58', '16:03:58', 0.031703948974609375)
('16:03:58', '16:03:58', 0.031607866287231445)
('16:03:58', '16:03:58', 0.03170013427734375)
('16:03:58', '16:03:58', 0.01590895652770996)
('16:03:58', '16:03:58', 0.015455961227416992)
('16:03:59', '16:03:59', 0.015443801879882812)
('16:03:59', '16:03:59', 0.015945911407470703)
('16:03:59', '16:03:59', 0.030986785888671875)
('16:03:59', '16:03:59', 0.014982938766479492)
('16:03:59', '16:03:59', 0.0309450626373291)
('16:04:00', '16:04:00', 0.015945911407470703)
('16:04:00', '16:04:00', 0.03101205825805664)
('16:04:00', '16:04:00', 0.015408039093017578)
('16:04:00', '16:04:00', 0.03148508071899414)
('16:04:01', '16:04:01', 0.015902996063232422)
('16:04:01', '16:04:01', 0.04875612258911133)
('16:04:01', '16:04:01', 0.06191086769104004)
('16:04:01', '16:04:01', 0.014991044998168945)
('16:04:02', '16:04:02', 0.014473915100097656)
('16:04:02', '16:04:02', 0.016242027282714844)
('16:04:02', '16:04:02', 0.01583695411682129)
('16:04:02', '16:04:02', 0.17194390296936035)
('16:04:02', '16:04:02', 0.015455961227416992)
('16:04:02', '16:04:03', 0.015438079833984375)
('16:04:03', '16:04:03', 0.015398979187011719)
('16:04:03', '16:04:03', 0.016052961349487305)
('16:04:03', '16:04:03', 0.015427112579345703)
('16:04:03', '16:04:03', 0.03051304817199707)
('16:04:04', '16:04:04', 0.03142499923706055)
('16:04:04', '16:04:04', 0.016000986099243164)
('16:04:04', '16:04:04', 0.015443086624145508)
('16:04:04', '16:04:04', 0.015393972396850586)
('16:04:04', '16:04:04', 0.016000986099243164)
('16:04:05', '16:04:05', 0.01604294776916504)
('16:04:05', '16:04:05', 0.015456914901733398)
